2025-07-31 15:48:51.552 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Starting EventManagementBackendJavaSpringApplicationTests using Java 17.0.12 with PID 3492 (started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-07-31 15:48:51.571 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-07-31 15:48:55.546 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-31 15:48:55.637 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4a9b3956, com.mongodb.Jep395RecordCodecProvider@4217bce6, com.mongodb.KotlinCodecProvider@aa752bb]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-07-31 15:48:55.682 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-31 15:48:55.690 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-31 15:48:56.778 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=571404600, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Thu Jul 31 15:48:56 ICT 2025, lastUpdateTimeNanos=490544024309700}
2025-07-31 15:48:56.778 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=571407500, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a25fa10cc052f6f69f45c, counter=4}, lastWriteDate=Thu Jul 31 15:48:56 ICT 2025, lastUpdateTimeNanos=490544024309600}
2025-07-31 15:48:56.778 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=571398300, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a2655208c90e9b0e1eded, counter=3}, lastWriteDate=Thu Jul 31 15:48:56 ICT 2025, lastUpdateTimeNanos=490544024309600}
2025-07-31 15:48:56.788 [cluster-ClusterId{value='688b2df79a6b9fe06b10c5e6', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003b and max set version 25
2025-07-31 15:48:58.106 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
