2025-08-03 15:07:28.840 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Starting EventManagementBackendJavaSpringApplication using Java 21.0.4 with PID 4132 (D:\SpringBoot3\event_management_backend_java_spring\target\classes started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 15:07:28.846 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-03 15:07:30.211 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-03 15:07:30.213 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-03 15:07:30.214 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-08-03 15:07:30.284 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-03 15:07:30.545 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.4+8-LTS-274"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2b098563, com.mongodb.Jep395RecordCodecProvider@c758a2d, com.mongodb.KotlinCodecProvider@d0b814d]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-08-03 15:07:30.548 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 15:07:30.569 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 15:07:30.572 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 15:07:31.246 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=350452900, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a25fa10cc052f6f69f45c, counter=4}, lastWriteDate=Sun Aug 03 15:07:31 ICT 2025, lastUpdateTimeNanos=228229393744200}
2025-08-03 15:07:31.246 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=352873900, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a2655208c90e9b0e1eded, counter=3}, lastWriteDate=Sun Aug 03 15:07:31 ICT 2025, lastUpdateTimeNanos=228229393744200}
